[11, 40]	[19, 48, 36]	0.4054	0.41303039647165457
[18, 35]	[42, 14, 44]	0.3546666666666667	0.3582798381595791
[17, 4]	[32, 20, 51]	0.2118	0.21377559125015183
[0, 1]	[13, 3, 25]	0.927	0.9299759855726554
[1, 48]	[20, 34, 46]	0.426	0.42554966875040884
[47, 27]	[25, 5, 4]	0.7498	0.7447808333099729
[28, 30]	[26, 32, 3]	0.7242	0.7330707631355181
[1, 22]	[20, 49, 33]	0.5992666666666666	0.604251114288117
[3, 33]	[35, 19, 10]	0.7280666666666666	0.7360034199534663
[34, 22]	[40, 9, 41]	0.36013333333333336	0.3638587540530186
