780	700	705	710	700	700	700	710	710	710	710	715	730
655	795	720	725	715	710	705	710	715	715	715	725	730
660	675	805	740 728	722	717	716	718	719	721	724	739
667	682	694	819	752	737	734	731	724	726	733	732	744	
661	674	687	703	830	751	745	737	731	725	731	731	730	
650	671	681	700	711	842	756	751	746	735	730	732	742	
660	659	676	693	705	712	853	765	756	751	744	735	741	
660	666	671	682	697	713	719	869	767	759	753	743	740	
666	673	677	680	690	701	718	727	882	777	772	762	760	
668	671	681	683	683	692	703	718	739	894	771	763	754	
669	671	678	681	687	687	695	707	729	726	903	763	761	
667	675	678	683	685	690	684	704	715	719	719	916	758	
684	686	691	699	689	693	701	696	714	717	715	712	929	
