[12, 50]	[27, 35, 10]	0.42673333333333335	0.4314219904876704
[11, 19]	[39, 47, 33]	0.4666	0.47037021463478446
[0, 23]	[17, 45, 43]	0.18546666666666667	0.18723964903428364
[31, 4]	[13, 28, 22]	0.6884	0.6937791420215103
[36, 14]	[39, 45, 16]	0.7345333333333334	0.7349409917865052
[31, 46]	[9, 20, 42]	0.43066666666666664	0.4392654575355778
[12, 48]	[21, 28, 42]	0.469	0.47164288584270087
[44, 32]	[40, 48, 35]	0.8433333333333334	0.8408619030265654
[0, 39]	[43, 25, 23]	0.34373333333333334	0.33821984881189315
[15, 17]	[42, 32, 14]	0.5688	0.5641554303441445
